Source,Agol et al. 2021,Ducrot et al. 2020,Grimm et al. 2018,Luger et al. 2017,Gillon et al. 2017
P (days),18.772866±0.000214,18.76727450±0.00001876,---,18.767 +0.004 -0.003,20 +15 -6
a (au),0.06189±0.00053,0.0618656 +0.0005300 -0.0004900,0.06193488±0.00000080,---,0.063 +0.027 -0.013
Rp (R⨁),0.755±0.014,---,0.773 +0.026 -0.027,0.752 +0.032 -0.031,0.755±0.034
Rp (RJup),0.0674±0.0012,---,0.0690 +0.0023 -0.0024,0.0671 +0.0029 -0.0028,0.0674±0.0030
Mp (M⨁),0.326±0.020,---,0.331 +0.056 -0.049,---,---
Mp (MJup),0.00103±0.00006,---,0.00104 +0.00018 -0.00015,---,---
ρ (g/cm3),4.16 +0.33 -0.30,---,3.96 +0.65 -0.56,---,---
e,---,---,0.00567±0.00121,---,---
S (S⨁),0.144±0.006,0.1440±0.0055,---,0.165±0.025,0.131 +0.081 -0.067
Teq (K),---,171.7±1.7,---,173±4,168 +21 -28
i (deg),89.805±0.013,89.763±0.037,---,89.76 +0.05 -0.04,89.80 +0.10 -0.05
TC (days),---,2457662.5741486±0.0000913 (BJD-TDB),---,2457662.55284±0.00037 (BJD-TDB),2457662.55463±0.00056 (BJD-TDB)
b,0.378 +0.024 -0.023,0.448±0.054,---,0.45 +0.06 -0.08,0.45 +0.22 -0.29
δ (%),0.3375±0.0101,---,---,0.346±0.018,0.3520±0.0326
T14 (hours),1.2690±0.0093,1.271±0.014,---,1.26±0.02,1.280 +0.045 -0.033
a/R✶,111.817 +0.505 -0.830,107.9 +2.4 -3.0,---,109±4,117 +50 -26
Rp/R✶,0.05809±0.00087,---,---,0.0588±0.0016,---
ω (deg),---,---,338.92±9.66,---,---
