Source,Agol et al. 2021,Rathcke et al. 2025,Ducrot et al. 2020,Grimm et al. 2018,Gillon et al. 2017,de Wit et al. 2016,Gillon et al. 2016
P (days),2.421937±0.000018,2.4219371 +0.0000180 -0.0000179,2.42179346±0.00000023,---,2.4218233±0.0000017,---,2.421848±0.000028
a (au),0.01580±0.00013,---,0.01579 +0.00014 -0.00013,0.01581512±0.00000015,0.01521±0.00047,---,0.01522±0.00055
Rp (R⨁),1.097 +0.014 -0.012,---,---,1.095 +0.030 -0.031,1.056±0.035,---,1.049±0.050
Rp (RJup),0.09787 +0.00125 -0.00107,---,---,0.09769 +0.00268 -0.00277,0.09421±0.00312,---,0.09359±0.00446
Mp (M⨁),1.308±0.056,---,---,1.156 +0.142 -0.131,1.38±0.61,---,---
Mp (MJup),0.004115±0.000176,---,---,0.003637 +0.000447 -0.000412,0.00434±0.00192,---,---
ρ (g/cm3),5.464 +0.221 -0.237,---,---,4.87 +0.46 -0.43,6.45±2.92,---,---
e,---,0,---,0.00654±0.00188,<0.083,---,0
S (S⨁),2.214 +0.086 -0.085,---,2.211±0.085,---,2.27±0.18,---,2.26±0.21
Teq (K),---,---,339.7±3.3,---,341.9±6.6,315,342±8
i (deg),89.778±0.118,89.83761834 +0.09000000 -0.08000000,89.47±0.24,---,89.67±0.17,89.58±0.11,89.50±0.31
TC (days),---,2460501.385348 +0.000011 -0.000012 (BJD-TDB),2457282.8113871±0.0000038 (BJD-TDB),---,2457282.80728±0.00019 (BJD-TDB),2457512.88019±0.00016 (BJD),2457362.72618±0.00033 (BJD-TDB)
b,0.109 +0.059 -0.061,---,0.254 +0.110 -0.087,---,0.161 +0.076 -0.084,---,0.25±0.15
δ (%),0.7123±0.0064,---,---,---,0.687±0.010,0.7290±0.0240,0.672±0.042
T14 (hours),0.7005±0.0022,---,0.707±0.002,---,0.7062±0.0037,0.6963±0.0135,0.6963±0.0135
a/R✶,28.549 +0.129 -0.212,28.422 +0.073 -0.111,27.57 +0.62 -0.76,---,28.08 +0.22 -0.42,---,28.0 +0.6 -1.1
Rp/R✶,0.08440±0.00038,0.08453 +0.00016 -0.00017,---,---,---,---,---
ω (deg),---,90,---,282.45±17.10,---,---,---
