Source,Agol et al. 2021,Piaulet-Ghorayeb et al. 2025,Ducrot et al. 2020,Grimm et al. 2018,Gillon et al. 2017
P (days),4.049219±0.000026,4.049219±0.000026,4.04978035±0.00000266,---,4.049610±0.000063
a (au),0.02227±0.00019,0.0223±0.0003,0.02226 +0.00019 -0.00018,0.02228038±0.00000044,0.02144 +0.00066 -0.00063
Rp (R⨁),0.788 +0.011 -0.010,0.804 +0.014 -0.012,---,0.784±0.023,0.772±0.030
Rp (RJup),0.0703 +0.0010 -0.0009,0.0717 +0.0012 -0.0011,---,0.0699±0.0021,0.0689±0.0027
Mp (M⨁),0.388±0.012,0.388±0.012,---,0.297 +0.039 -0.035,0.41±0.27
Mp (MJup),0.00122±0.00004,0.00122±0.00004,---,0.000934 +0.000123 -0.000110,0.0013±0.0008
ρ (g/cm3),4.37 +0.15 -0.17,---,---,3.40 +0.37 -0.34,4.9±3.3
e,---,---,---,0.00837±0.00093,<0.070
S (S⨁),1.115±0.043,1.119 +0.047 -0.044,1.114±0.043,---,1.143±0.088
Teq (K),---,286±3,286.2±2.8,---,288.0±5.6
i (deg),89.896±0.077,89.909 +0.068 -0.071,89.65±0.15,---,89.75±0.16
TC (days),---,---,2457670.1463014±0.0000184 (BJD-TDB),---,2457670.14165±0.00035 (BJD-TDB)
b,0.0630 +0.0630 -0.0430,0.060±0.050,0.235 +0.120 -0.094,---,0.17±0.11
δ (%),0.3676±0.0063,---,---,---,0.367±0.017
T14 (hours),0.8145±0.0040,---,0.8228±0.0053,---,0.8188±0.0110
a/R✶,40.216 +0.182 -0.299,40.15±0.18,38.85 +0.88 -1.10,---,39.55 +0.30 -0.59
Rp/R✶,0.06063±0.00052,---,---,---,---
ω (deg),---,---,---,-8.73±6.17,---
