Source,Agol et al. 2021,Ducrot et al. 2020,Hirano et al. 2020,Grimm et al. 2018,Gillon et al. 2017
P (days),6.101013±0.000035,6.09956479±0.00000178,6.09705 +0.00096 -0.00093,---,6.099615±0.000011
a (au),0.02925±0.00250,0.02924 +0.00025 -0.00023,---,0.02928285±0.00000034,0.02817 +0.00083 -0.00087
Rp (R⨁),0.920 +0.013 -0.012,---,---,0.910 +0.026 -0.027,0.918±0.039
Rp (RJup),0.0821 +0.0012 -0.0011,---,---,0.0812 +0.0023 -0.0024,0.0819±0.0035
Mp (M⨁),0.692±0.022,---,---,0.772 +0.079 -0.075,0.62±0.58
Mp (MJup),0.00218±0.00007,---,---,0.00243 +0.00025 -0.00024,0.0020±0.0018
ρ (g/cm3),4.90 +0.17 -0.18,---,---,5.646 +0.419 -0.386,4.4±4.2
e,---,---,---,0.00510±0.00058,<0.085
S (S⨁),0.646±0.025,0.645±0.025,---,---,0.662±0.051
Teq (K),---,249.7±2.4,---,---,251.3±4.9
i (deg),89.793±0.048,89.663±0.092,---,---,89.86 +0.10 -0.12
TC (days),---,2457660.3676621±0.0000143 (BJD-TDB),2458361.8113 +0.0028 -0.0025 (BJD-TDB),---,2457660.37859±0.00038 (BJD-TDB)
b,0.191±0.041,0.299 +0.085 -0.072,---,---,0.12 +0.11 -0.09
δ (%),0.5012±0.0078,---,---,---,0.519±0.026
T14 (hours),0.9293±0.0043,0.9385±0.0042,---,---,0.9535±0.0120
a/R✶,52.855 +0.239 -0.392,51.0 +1.2 -1.4,---,---,51.97 +0.40 -0.77
Rp/R✶,0.07079±0.00055,---,---,---,---
ω (deg),---,---,---,108.37±8.47,---
λ (deg),---,---,9.0 +45.0 -51.0,---,---
